iter	Passed	Remaining
710	171651	69771
711	171879	69524
712	172109	69278
713	172350	69036
714	172620	68806
715	172869	68568
716	173120	68330
717	173369	68092
718	173634	67859
719	173882	67620
720	174132	67382
721	174380	67143
722	174637	66908
723	174888	66670
724	175137	66431
725	175378	66189
726	175619	65947
727	175845	65700
728	176074	65454
729	176299	65206
730	176562	64973
731	176811	64734
732	177067	64497
733	177317	64259
734	177585	64027
735	177843	63791
736	178096	63554
737	178349	63316
738	178591	63074
739	178828	62831
740	179058	62585
741	179285	62339
742	179532	62099
743	179793	61864
744	180040	61624
745	180294	61387
746	180540	61146
747	180801	60911
748	181049	60672
749	181300	60433
750	181551	60194
751	181816	59960
752	182097	59731
753	182349	59493
754	182604	59255
755	182869	59021
756	183121	58782
757	183381	58546
758	183617	58302
759	183869	58064
760	184102	57819
761	184398	57594
762	184628	57348
763	184865	57105
764	185108	56863
765	185332	56615
766	185558	56369
767	185796	56126
768	186023	55879
769	186250	55633
770	186477	55386
771	186725	55146
772	186982	54909
773	187232	54670
774	187480	54429
775	187714	54185
776	187954	53943
777	188184	53698
778	188415	53452
779	188645	53207
780	188883	52964
781	189109	52718
782	189335	52472
783	189561	52226
784	189790	51980
785	190029	51738
786	190255	51492
787	190483	51246
788	190720	51003
789	190981	50767
790	191238	50529
791	191518	50297
792	191778	50060
793	192029	49821
794	192268	49578
795	192519	49339
796	192754	49095
797	193017	48858
798	193267	48619
799	193513	48378
800	193761	48138
801	193995	47894
802	194235	47651
803	194462	47406
804	194691	47161
805	194918	46915
806	195154	46672
807	195381	46427
808	195610	46182
809	195847	45939
810	196109	45702
811	196357	45462
812	196607	45222
813	196858	44982
814	197117	44744
815	197374	44505
816	197626	44266
817	197879	44026
818	198129	43786
819	198385	43547
820	198635	43307
821	198884	43067
822	199131	42826
823	199393	42588
824	199643	42348
825	199891	42107
826	200124	41864
827	200366	41622
828	200595	41377
829	200834	41134
830	201063	40890
831	201300	40647
832	201536	40404
833	201770	40160
834	201999	39916
835	202234	39672
836	202471	39430
837	202701	39185
838	202933	38942
839	203167	38698
840	203410	38456
841	203646	38213
842	203882	37971
843	204132	37730
844	204392	37492
845	204666	37256
846	204918	37016
847	205166	36775
848	205425	36536
849	205682	36296
850	205932	36056
851	206183	35815
852	206450	35578
853	206701	35337
854	206952	35097
855	207208	34857
856	207480	34620
857	207730	34379
858	207981	34138
859	208220	33896
860	208463	33654
861	208699	33411
862	208930	33167
863	209174	32925
864	209440	32687
865	209694	32447
866	209940	32205
867	210188	31964
868	210438	31723
869	210707	31485
870	210955	31243
871	211192	31000
872	211421	30756
873	211662	30514
874	211889	30269
875	212117	30025
876	212347	29781
877	212592	29540
878	212820	29296
879	213059	29053
880	213315	28813
881	213581	28574
882	213833	28333
883	214077	28091
884	214308	27848
885	214537	27604
886	214775	27361
887	215013	27118
888	215264	26877
889	215508	26635
890	215768	26395
891	216012	26154
892	216252	25911
893	216484	25668
894	216725	25425
895	216959	25182
896	217194	24939
897	217453	24699
898	217713	24459
899	217962	24218
900	218218	23977
901	218475	23736
902	218737	23496
903	218983	23254
904	219229	23013
905	219474	22771
906	219735	22530
907	219980	22288
908	220228	22047
909	220479	21805
910	220728	21564
911	220985	21323
912	221232	21081
913	221481	20839
914	221735	20598
915	221995	20357
916	222245	20116
917	222499	19874
918	222747	19632
919	223012	19392
920	223264	19150
921	223504	18908
922	223735	18664
923	223979	18422
924	224205	18178
925	224438	17935
926	224694	17694
927	224967	17454
928	225218	17212
929	225495	16972
930	225750	16731
931	226014	16490
932	226259	16248
933	226510	16006
934	226757	15763
935	227020	15522
936	227272	15280
937	227522	15038
938	227774	14796
939	228037	14555
940	228289	14313
941	228542	14071
942	228788	13829
943	229046	13587
944	229296	13345
945	229542	13102
946	229770	12859
947	229997	12615
948	230236	12373
949	230463	12129
950	230694	11886
951	230929	11643
952	231166	11400
953	231391	11157
954	231637	10914
955	231889	10672
956	232161	10431
957	232414	10189
958	232666	9947
959	232914	9704
960	233177	9462
961	233428	9220
962	233676	8978
963	233925	8735
964	234182	8493
965	234432	8251
966	234686	8008
967	234935	7766
968	235186	7524
969	235452	7282
970	235717	7039
971	235945	6796
972	236173	6553
973	236413	6310
974	236641	6067
975	236898	5825
976	237148	5582
977	237415	5340
978	237671	5098
979	237900	4855
980	238130	4612
981	238371	4369
982	238603	4126
983	238850	3883
984	239100	3641
985	239356	3398
986	239602	3155
987	239852	2913
988	240102	2670
989	240364	2427
990	240620	2185
991	240855	1942
992	241081	1699
993	241306	1456
994	241549	1213
995	241782	971
996	242033	728
997	242288	485
998	242550	242
999	242799	0
